shipment_id,order_date,expected_date,received_date,store_id,product_id,supplier_id,quantity_ordered,quantity_received,is_late
SHIP00150,2025-10-31,2025-11-16,2025-11-16,S001,P0173,SUP029,87,87,False
SHIP00151,2025-08-26,2025-09-07,2025-09-07,S001,P0174,SUP012,81,81,False
SHIP00152,2025-11-23,2025-12-05,2025-12-05,S001,P0174,SUP012,81,81,False
SHIP00153,2025-08-17,2025-09-06,2025-09-13,S001,P0175,SUP006,111,111,True
SHIP00154,2025-11-19,2025-12-09,2025-12-16,S001,P0176,SUP027,99,99,True
SHIP00155,2025-10-15,2025-11-02,2025-11-02,S001,P0177,SUP020,117,117,False
SHIP00156,2025-11-29,2025-12-13,2025-12-13,S001,P0178,SUP022,81,81,False
SHIP00157,2025-11-11,2025-11-25,2025-11-25,S001,P0179,SUP030,108,108,False
SHIP00158,2025-09-19,2025-10-05,2025-10-11,S001,P0180,SUP029,102,102,True
SHIP00159,2026-01-17,2026-02-02,2026-02-03,S001,P0180,SUP029,102,102,True
SHIP00160,2025-11-02,2025-11-16,2025-11-16,S001,P0181,SUP009,87,87,False
SHIP00161,2025-11-17,2025-12-03,2025-12-03,S001,P0182,SUP029,99,99,False
SHIP00162,2025-09-14,2025-09-29,2025-09-29,S001,P0183,SUP024,114,114,False
SHIP00163,2025-11-15,2025-11-29,2025-11-29,S001,P0184,SUP009,63,63,False
SHIP00164,2025-11-28,2025-12-16,2025-12-16,S001,P0185,SUP020,69,69,False
SHIP00165,2025-12-20,2026-01-05,2026-01-07,S001,P0187,SUP007,78,78,True
SHIP00166,2025-11-15,2025-11-29,2025-11-29,S001,P0189,SUP009,78,78,False
SHIP00167,2025-10-16,2025-11-03,2025-11-03,S001,P0190,SUP003,66,66,False
SHIP00168,2025-09-01,2025-09-21,2025-09-21,S001,P0191,SUP027,81,81,False
SHIP00169,2025-12-06,2025-12-26,2025-12-26,S001,P0191,SUP027,81,81,False
SHIP00170,2025-08-28,2025-09-10,2025-09-10,S001,P0192,SUP002,111,111,False
SHIP00171,2025-07-27,2025-08-16,2025-08-16,S001,P0193,SUP011,75,75,False
SHIP00172,2025-10-19,2025-11-08,2025-11-08,S001,P0193,SUP011,75,75,False
SHIP00173,2025-07-18,2025-08-04,2025-08-04,S001,P0194,SUP021,99,99,False
SHIP00174,2025-10-24,2025-11-10,2025-11-12,S001,P0194,SUP021,99,99,True
SHIP00175,2025-10-20,2025-11-09,2025-11-09,S001,P0195,SUP006,117,117,False
SHIP00176,2025-10-15,2025-10-27,2025-10-27,S001,P0196,SUP018,87,87,False
SHIP00177,2025-08-25,2025-09-06,2025-09-06,S001,P0197,SUP018,81,81,False
SHIP00178,2025-12-02,2025-12-14,2025-12-21,S001,P0197,SUP018,81,81,True
SHIP00179,2025-10-04,2025-10-13,2025-10-13,S001,P0198,SUP004,87,87,False
SHIP00180,2025-11-30,2025-12-16,2025-12-16,S001,P0199,SUP029,102,102,False
SHIP00181,2025-07-13,2025-08-02,2025-08-02,S002,P0001,SUP001,30,30,False
SHIP00182,2025-10-06,2025-10-17,2025-10-17,S002,P0002,SUP008,21,21,False
SHIP00183,2025-10-08,2025-10-22,2025-10-22,S002,P0004,SUP022,24,24,False
SHIP00184,2025-09-13,2025-09-17,2025-09-17,S002,P0005,SUP019,27,27,False
SHIP00185,2025-09-07,2025-09-20,2025-09-21,S002,P0006,SUP002,30,30,True
SHIP00186,2025-09-24,2025-10-12,2025-10-15,S002,P0007,SUP003,21,21,True
SHIP00187,2025-12-03,2025-12-14,2025-12-16,S002,P0008,SUP008,15,15,True
SHIP00188,2025-10-06,2025-10-18,2025-10-18,S002,P0009,SUP018,18,18,False
SHIP00189,2025-12-08,2025-12-19,2025-12-19,S002,P0011,SUP008,27,27,False
SHIP00190,2025-12-22,2026-01-08,2026-01-08,S002,P0013,SUP026,15,15,False
SHIP00191,2025-11-04,2025-11-24,2025-11-24,S002,P0014,SUP025,30,30,False
SHIP00192,2025-12-27,2025-12-31,2026-01-06,S002,P0015,SUP023,30,30,True
SHIP00193,2025-10-25,2025-11-14,2025-11-14,S002,P0016,SUP011,21,21,False
SHIP00194,2025-08-14,2025-08-23,2025-08-23,S002,P0019,SUP004,27,27,False
SHIP00195,2025-09-08,2025-09-29,2025-10-04,S002,P0020,SUP013,24,24,True
SHIP00196,2025-11-26,2025-12-08,2025-12-08,S002,P0021,SUP012,27,27,False
SHIP00197,2025-09-20,2025-10-08,2025-10-09,S002,P0022,SUP020,15,15,True
SHIP00198,2026-01-01,2026-01-19,2026-01-19,S002,P0022,SUP020,15,15,False
SHIP00199,2025-09-29,2025-10-16,2025-10-16,S002,P0023,SUP026,18,18,False
SHIP00200,2025-11-16,2025-12-01,2025-12-08,S002,P0024,SUP024,27,27,True
SHIP00201,2025-07-01,2025-07-13,2025-07-13,S002,P0025,SUP018,30,30,False
SHIP00202,2025-09-19,2025-10-03,2025-10-03,S002,P0026,SUP030,27,27,False
SHIP00203,2025-08-14,2025-09-01,2025-09-01,S002,P0027,SUP003,18,18,False
SHIP00204,2025-12-04,2025-12-24,2025-12-25,S002,P0028,SUP027,27,27,True
SHIP00205,2025-11-27,2025-12-17,2025-12-17,S002,P0034,SUP028,24,24,False
SHIP00206,2025-12-03,2025-12-24,2025-12-24,S002,P0035,SUP013,24,24,False
SHIP00207,2025-12-10,2025-12-24,2025-12-24,S002,P0036,SUP015,21,21,False
SHIP00208,2025-11-03,2025-11-23,2025-11-23,S002,P0037,SUP006,18,18,False
SHIP00209,2025-12-22,2026-01-03,2026-01-03,S002,P0038,SUP012,24,24,False
SHIP00210,2025-10-28,2025-11-01,2025-11-01,S002,P0040,SUP023,27,27,False
SHIP00211,2025-09-01,2025-09-19,2025-09-19,S002,P0041,SUP020,24,24,False
SHIP00212,2025-09-13,2025-09-25,2025-09-25,S002,P0042,SUP018,21,21,False
SHIP00213,2025-10-04,2025-10-25,2025-10-25,S002,P0044,SUP013,21,21,False
SHIP00214,2025-09-08,2025-09-22,2025-09-22,S002,P0045,SUP030,24,24,False
SHIP00215,2026-01-09,2026-01-23,2026-01-30,S002,P0046,SUP022,15,15,True
SHIP00216,2025-10-05,2025-10-22,2025-10-22,S002,P0049,SUP026,27,27,False
SHIP00217,2025-12-12,2026-01-02,2026-01-02,S002,P0050,SUP013,27,27,False
SHIP00218,2025-10-23,2025-11-10,2025-11-10,S002,P0051,SUP003,90,90,False
SHIP00219,2025-12-22,2026-01-05,2026-01-06,S002,P0052,SUP030,87,87,True
SHIP00220,2025-09-24,2025-10-15,2025-10-15,S002,P0054,SUP013,69,69,False
SHIP00221,2025-11-15,2025-12-05,2025-12-05,S002,P0055,SUP005,57,57,False
SHIP00222,2025-09-09,2025-09-29,2025-09-29,S002,P0056,SUP005,87,87,False
SHIP00223,2025-11-14,2025-11-29,2025-11-29,S002,P0057,SUP024,90,90,False
SHIP00224,2025-10-01,2025-10-16,2025-10-16,S002,P0058,SUP024,45,45,False
SHIP00225,2025-12-25,2026-01-10,2026-01-10,S002,P0059,SUP029,66,66,False
SHIP00226,2026-01-15,2026-01-27,2026-01-27,S002,P0060,SUP012,60,60,False
SHIP00227,2025-10-17,2025-11-06,2025-11-06,S002,P0061,SUP005,45,45,False
SHIP00228,2025-11-29,2025-12-17,2025-12-22,S002,P0062,SUP003,84,84,True
SHIP00229,2025-09-05,2025-09-25,2025-09-25,S002,P0063,SUP028,66,66,False
SHIP00230,2025-08-30,2025-09-19,2025-09-19,S002,P0064,SUP005,87,87,False
SHIP00231,2025-08-23,2025-09-09,2025-09-09,S002,P0065,SUP026,57,57,False
SHIP00232,2025-11-17,2025-12-05,2025-12-11,S002,P0066,SUP020,72,72,True
SHIP00233,2025-11-23,2025-12-14,2025-12-14,S002,P0067,SUP013,69,69,False
SHIP00234,2025-09-15,2025-10-03,2025-10-10,S002,P0068,SUP020,90,90,True
SHIP00235,2025-11-26,2025-12-11,2025-12-11,S002,P0069,SUP017,66,66,False
SHIP00236,2025-11-12,2025-11-24,2025-11-24,S002,P0070,SUP018,57,57,False
SHIP00237,2025-10-29,2025-11-12,2025-11-12,S002,P0071,SUP022,63,63,False
SHIP00238,2025-11-19,2025-12-03,2025-12-03,S002,P0072,SUP022,57,57,False
SHIP00239,2025-09-03,2025-09-23,2025-09-23,S002,P0073,SUP025,69,69,False
SHIP00240,2025-09-18,2025-10-05,2025-10-05,S002,P0075,SUP014,69,69,False
SHIP00241,2025-08-16,2025-08-30,2025-08-30,S002,P0076,SUP015,72,72,False
SHIP00242,2025-10-28,2025-11-12,2025-11-12,S002,P0078,SUP017,90,90,False
SHIP00243,2025-08-03,2025-08-18,2025-08-18,S002,P0079,SUP017,87,87,False
SHIP00244,2025-10-11,2025-10-31,2025-10-31,S002,P0080,SUP028,90,90,False
SHIP00245,2025-10-28,2025-11-17,2025-11-17,S002,P0081,SUP027,75,75,False
SHIP00246,2025-10-18,2025-11-07,2025-11-07,S002,P0082,SUP005,81,81,False
SHIP00247,2025-10-02,2025-10-22,2025-10-22,S002,P0083,SUP025,75,75,False
SHIP00248,2025-08-15,2025-08-27,2025-08-27,S002,P0084,SUP018,66,66,False
SHIP00249,2026-01-06,2026-01-18,2026-01-18,S002,P0084,SUP018,66,66,False
SHIP00250,2025-10-16,2025-11-03,2025-11-03,S002,P0085,SUP020,81,81,False
SHIP00251,2025-09-25,2025-10-11,2025-10-11,S002,P0086,SUP016,84,84,False
SHIP00252,2025-07-28,2025-08-06,2025-08-06,S002,P0087,SUP004,75,75,False
SHIP00253,2025-10-29,2025-11-14,2025-11-14,S002,P0088,SUP029,90,90,False
SHIP00254,2026-01-08,2026-01-19,2026-01-19,S002,P0089,SUP008,81,81,False
SHIP00255,2025-10-29,2025-11-09,2025-11-09,S002,P0090,SUP008,57,57,False
SHIP00256,2025-11-20,2025-12-08,2025-12-08,S002,P0091,SUP003,48,48,False
SHIP00257,2025-09-07,2025-09-27,2025-09-27,S002,P0092,SUP027,75,75,False
SHIP00258,2025-07-20,2025-08-09,2025-08-09,S002,P0093,SUP025,87,87,False
SHIP00259,2025-07-28,2025-08-17,2025-08-17,S002,P0094,SUP005,87,87,False
SHIP00260,2025-08-17,2025-08-29,2025-08-29,S002,P0095,SUP018,57,57,False
SHIP00261,2025-12-15,2025-12-27,2025-12-27,S002,P0095,SUP018,57,57,False
SHIP00262,2025-11-17,2025-12-01,2025-12-01,S002,P0096,SUP009,57,57,False
SHIP00263,2025-07-21,2025-07-25,2025-07-25,S002,P0098,SUP023,90,90,False
SHIP00264,2025-10-03,2025-10-17,2025-10-17,S002,P0100,SUP015,81,81,False
SHIP00265,2025-11-20,2025-11-29,2025-11-29,S002,P0101,SUP004,33,33,False
SHIP00266,2025-12-11,2025-12-22,2025-12-22,S002,P0102,SUP008,45,45,False
SHIP00267,2025-11-20,2025-12-10,2025-12-10,S002,P0103,SUP011,60,60,False
SHIP00268,2025-12-13,2025-12-17,2025-12-17,S002,P0104,SUP019,54,54,False
SHIP00269,2025-11-10,2025-11-14,2025-11-14,S002,P0105,SUP019,45,45,False
SHIP00270,2025-11-23,2025-12-13,2025-12-13,S002,P0106,SUP001,51,51,False
SHIP00271,2025-07-21,2025-08-01,2025-08-01,S002,P0108,SUP008,57,57,False
SHIP00272,2025-09-06,2025-09-22,2025-09-22,S002,P0109,SUP029,39,39,False
SHIP00273,2025-10-12,2025-11-01,2025-11-01,S002,P0110,SUP028,60,60,False
SHIP00274,2025-12-17,2026-01-02,2026-01-02,S002,P0113,SUP007,42,42,False
SHIP00275,2025-11-13,2025-11-28,2025-11-28,S002,P0114,SUP024,33,33,False
SHIP00276,2025-10-06,2025-10-17,2025-10-20,S002,P0115,SUP008,33,33,True
SHIP00277,2025-10-01,2025-10-21,2025-10-21,S002,P0121,SUP028,42,42,False
SHIP00278,2025-09-10,2025-09-23,2025-09-30,S002,P0123,SUP002,45,45,True
SHIP00279,2025-09-22,2025-10-08,2025-10-14,S002,P0127,SUP007,45,45,True
SHIP00280,2025-10-15,2025-11-04,2025-11-04,S002,P0128,SUP005,48,48,False
SHIP00281,2025-09-23,2025-10-13,2025-10-13,S002,P0129,SUP006,39,39,False
SHIP00282,2025-10-28,2025-11-11,2025-11-11,S002,P0130,SUP015,48,48,False
SHIP00283,2025-09-16,2025-10-06,2025-10-06,S002,P0131,SUP028,60,60,False
SHIP00284,2026-01-16,2026-01-30,2026-01-30,S002,P0132,SUP015,36,36,False
SHIP00285,2025-10-12,2025-10-25,2025-10-26,S002,P0133,SUP002,36,36,True
SHIP00286,2025-07-03,2025-07-21,2025-07-21,S002,P0134,SUP003,57,57,False
SHIP00287,2025-10-02,2025-10-18,2025-10-18,S002,P0137,SUP007,60,60,False
SHIP00288,2025-08-12,2025-08-28,2025-08-28,S002,P0138,SUP029,51,51,False
SHIP00289,2025-12-20,2026-01-09,2026-01-09,S002,P0139,SUP006,57,57,False
SHIP00290,2025-10-25,2025-11-14,2025-11-14,S002,P0140,SUP001,39,39,False
SHIP00291,2025-10-04,2025-10-18,2025-10-18,S002,P0141,SUP009,60,60,False
SHIP00292,2025-09-28,2025-10-09,2025-10-09,S002,P0142,SUP010,51,51,False
SHIP00293,2025-09-21,2025-09-25,2025-09-25,S002,P0143,SUP023,60,60,False
SHIP00294,2025-08-17,2025-09-06,2025-09-06,S002,P0144,SUP005,51,51,False
SHIP00295,2025-12-23,2026-01-03,2026-01-03,S002,P0145,SUP010,42,42,False
SHIP00296,2025-11-29,2025-12-12,2025-12-14,S002,P0146,SUP002,54,54,True
SHIP00297,2025-09-23,2025-10-08,2025-10-08,S002,P0147,SUP024,33,33,False
SHIP00298,2025-12-02,2025-12-15,2025-12-17,S002,P0148,SUP002,45,45,True
SHIP00299,2025-10-05,2025-10-09,2025-10-09,S002,P0149,SUP019,42,42,False
SHIP00300,2025-10-16,2025-10-31,2025-10-31,S002,P0150,SUP017,48,48,False
SHIP00301,2025-11-09,2025-11-22,2025-11-22,S002,P0151,SUP002,84,84,False
SHIP00302,2025-10-29,2025-11-18,2025-11-18,S002,P0152,SUP028,87,87,False
